date,team,opponent,result,attendance,contest,WL,home_score,away_score,game_number,location,auto_generate
08/30/2024,Alfred St.,Smith,L 1-3,46.0,5667720,L,1,3,1,,
08/30/2024,Hilbert,Thiel,L 1-3,35.0,5667545,L,1,3,1,,
08/30/2024,Mount Aloysius,Swarthmore,L 0-3,85.0,5667553,L,0,3,1,,
08/30/2024,Penn St.-Altoona,St. Mary's (IN),L 2-3,113.0,5667273,L,2,3,1,,
08/30/2024,Penn St.-Altoona,Kenyon,W 3-0,97.0,5667556,W,3,0,1,,
08/30/2024,Penn St.-Behrend,Hiram,L 0-3,220.0,5667272,L,0,3,1,,
08/30/2024,Penn St.-Behrend,St. Mary's (IN),L 0-3,113.0,5667559,L,0,3,1,,
08/30/2024,Pitt.-Bradford,Keuka,L 1-3,125.0,5667527,L,1,3,1,,
08/30/2024,Pitt.-Greensburg,Saint Vincent,L 1-3,277.0,5667221,L,1,3,1,,
08/30/2024,Pitt.-Greensburg,Bethany (WV),L 0-3,42.0,5667450,L,0,3,1,,
08/30/2024,East Tex. Baptist,Saint Benedict,W 3-0,112.0,5667239,W,3,0,1,,
08/30/2024,Hardin-Simmons,Wash. & Lee,L 1-3,50.0,5667393,L,1,3,1,,
08/30/2024,Hardin-Simmons,Berry,W 3-2,225.0,5667575,W,3,2,1,,
08/30/2024,Howard Payne,Millsaps,W 3-0,122.0,5667324,W,3,0,1,,
08/30/2024,LeTourneau,Manchester,L 2-3,113.0,5667210,L,2,3,1,,
08/30/2024,LeTourneau,Heidelberg,W 3-1,67.0,5667322,W,3,1,1,,
08/30/2024,Mary Hardin-Baylor,Linfield,W 3-0,25.0,5667178,W,3,0,1,,
08/30/2024,Mary Hardin-Baylor,Pacific (OR),W 3-0,50.0,5667355,W,3,0,1,,
08/30/2024,Buena Vista,Rose-Hulman,L 0-3,100.0,5667373,L,0,3,1,,
08/30/2024,Buena Vista,Westminster (MO),W 3-1,100.0,5697376,W,3,1,1,,
08/30/2024,Central (IA),Bethany Lutheran,L 0-3,100.0,5667405,L,0,3,1,,
