,team,elo_rating,wins,games
0,Alfred St.,1647.9911965703686,20,27
1,Smith,2054.0142178302845,30,36
2,Carlow,1173.493523612138,7,26
3,Fla. National,1501.7982038239436,1,2
4,Penn St.-Gr Allegheny,1437.5098098458366,1,3
5,Hilbert,1261.3784191880984,5,26
6,Thiel,1487.4663422676956,17,26
7,Mount Aloysius,1456.4487925423841,14,29
8,Swarthmore,1797.914592603579,17,27
9,Penn St.-Altoona,1679.6614176260168,18,29
10,St. Mary's (IN),1400.4376265870485,10,23
11,Kenyon,1206.6282574704803,7,27
12,Penn St.-Behrend,1489.590815116271,13,31
13,Hiram,1388.4481862318721,10,26
14,Pitt.-Bradford,1272.9384134968968,5,25
15,Keuka,1181.7293655020835,7,25
16,Pitt.-Greensburg,1127.4067011444083,3,30
17,Saint Vincent,1720.53026276254,15,27
18,Bethany (WV),1257.1965205300257,8,28
19,East Tex. Baptist,1995.9940192792537,28,29
20,Saint Benedict,1858.1710355943258,15,26
21,Hardin-Simmons,1461.3593072899437,14,25
22,Wash. & Lee,2058.152615431856,32,34
23,Berry,1726.6386986627451,16,29
24,Howard Payne,1429.2739769706889,13,26
25,La. Christian,1447.8,1,3
26,Millsaps,1606.7916918852675,22,28
27,LeTourneau,1574.616265507916,15,32
28,Manchester,1688.0304958387878,18,29
29,Heidelberg,1589.850847735104,14,29
30,Mary Hardin-Baylor,1657.2542988739253,22,30
31,Linfield,1350.4571123780506,7,23
32,Pacific (OR),1352.2052078258907,10,24
33,Buena Vista,1209.9824904767286,5,25
34,Rose-Hulman,1532.1074541545588,11,28
35,Westminster (MO),1623.1128158408098,18,34
36,Central (IA),1593.1287804145516,20,29
37,Bethany Lutheran,1498.9084996002953,14,29
38,St. Scholastica,1436.571509955265,13,29
39,Coe,1757.5771926763346,23,31
40,WashU,1974.725313392983,28,34
41,Dubuque,1797.4393550488041,23,32
42,Minn.-Morris,1640.263998345212,16,27
43,St. Catherine,1748.5563467857405,20,29
44,Loras,1446.2127643126312,16,31
45,Alma,1300.4040907250574,7,29
46,UChicago,1847.668038797977,24,34
47,Luther,1215.2570367578303,5,29
48,IIT,1486.4554853161562,15,30
49,Ripon,1250.3835864749913,10,28
50,Neb. Wesleyan,1626.7222057935116,21,30
51,McMurry,1498.7452595783489,14,29
52,Dallas,1174.4845808750747,2,29
53,Simpson,1463.467605936508,9,25
54,Saint Mary's (MN),1186.7235157312466,9,29
55,Wis.-Platteville,1875.1388577207983,25,31
56,Wartburg,1690.0510327728496,18,30
57,Concordia (TX),1312.8469843817243,7,25
58,Centenary (NJ),1063.294861678939,4,27
59,Alvernia,1426.5822514482375,12,26
