Team Name,Games,Wins,Qualifying Wins,Qualifying Losses,NPI,Rank,Old Rank,Rank Change
Juniata,29,29,10,0,77.719596,1,1,0
Johns Hopkins,31,29,10,2,71.982999,2,2,0
MIT,32,31,10,1,71.370572,3,3,0
Emory,28,26,10,2,69.916097,4,4,0
Hope,26,24,10,2,69.657643,5,5,0
Wash. & Lee,34,32,10,2,68.441199,6,6,0
Wis.-Whitewater,29,26,10,3,67.677335,7,7,0
Wis.-Oshkosh,31,26,12,5,67.066814,8,8,0
Marietta,24,23,10,1,66.299821,9,9,0
Colby,26,23,10,3,65.696555,10,10,0
WashU,34,28,14,6,64.855903,11,11,0
East Tex. Baptist,27,26,10,1,64.446730,12,12,0
Millikin,34,29,15,5,63.454723,13,13,0
Ithaca,28,22,11,6,63.064666,14,14,0
Trinity (TX),30,24,13,6,62.817733,15,15,0
Gettysburg,28,23,12,5,62.616508,16,16,0
Whitworth,28,26,10,2,62.441126,17,17,0
Salisbury,30,24,13,6,62.340964,18,18,0
Chris. Newport,33,24,18,9,62.328909,19,19,0
Wis.-Platteville,31,25,17,6,62.005635,20,20,0
Smith,36,30,13,6,61.882445,21,21,0
La Verne,28,23,14,5,61.872104,22,22,0
CWRU,30,23,16,7,61.843268,23,23,0
Franklin & Marshall,29,23,16,5,61.666046,24,24,0
Va. Wesleyan,31,26,12,5,61.598259,25,25,0
Claremont-M-S,27,21,14,6,61.407280,26,26,0
Cortland,31,26,14,5,61.365248,27,27,0
UChicago,34,24,16,10,60.759277,28,28,0
NYU,33,21,18,12,60.590901,29,29,0
Otterbein,29,21,13,7,60.415248,30,30,0
Stevens,33,27,16,6,60.240363,31,31,0
Wis.-Eau Claire,28,20,17,8,60.173982,32,32,0
Springfield,29,22,17,7,60.129579,33,33,0
Gallaudet,33,29,18,4,59.975871,34,34,0
Carnegie Mellon,29,18,17,10,59.905058,35,35,0
Transylvania,29,22,15,7,59.850148,36,36,0
William Smith,28,22,16,6,59.790221,37,37,0
Middlebury,25,16,16,9,59.592293,38,38,0
Wis.-Stevens Point,30,19,16,11,59.577815,39,40,+1
Centre,28,22,16,6,59.574856,40,39,-1
Babson,29,22,15,7,59.564420,41,41,0
Ill. Wesleyan,31,22,20,9,59.449953,42,42,0
Northwestern-St. Paul,32,24,12,8,59.404504,43,43,0
Messiah,30,23,17,7,59.268339,44,44,0
Calvin,27,18,15,9,59.232431,45,45,0
Endicott,29,22,17,7,59.141594,46,46,0
Wm. Paterson,31,22,16,8,58.874891,47,47,0
Eastern,28,19,15,9,58.825571,48,48,0
Southwestern (TX),28,22,15,6,58.792353,49,49,0
Swarthmore,27,17,14,9,58.760853,50,50,0
Gustavus Adolphus,30,20,15,10,58.500719,51,51,0
