team,npi_0,npi_1,npi_2
Adrian,50.00506423980575,48.96906758209988,42.93241855748793
Agnes Scott,37.506583723076815,48.711529047494714,41.165844244150534
Albertus Magnus,36.86576181575629,36.67301358219941,45.64617992314842
Albion,47.10197202773076,47.455152805552714,48.04422748904287
Albright,57.45526517865763,56.6297900798873,55.497801702227925
Alfred,48.45917557654273,47.03482504843886,53.408483250758486
Alfred St.,49.738811660425604,45.98272647758219,50.84537126272929
Allegheny,57.908299113776195,56.670139339779354,57.326436741762954
Alma,45.54814478356714,42.129990036202,43.53870214692285
Alvernia,46.178579860866776,42.59645852387726,40.540546678689616
Alverno,39.78945881033326,43.232757513174654,35.762698375188364
Amherst,46.66176890588154,50.47456398891369,50.15163907389568
Anderson (IN),57.08936841772372,49.38723667153571,55.82787345215927
Anna Maria,39.900219875531924,37.859909085507574,44.89066004927043
Arcadia,53.42938322530899,55.94660540452032,49.833259755363535
Asbury,52.65801349029226,58.77534931029859,53.932123192310996
Augsburg,52.755262367713826,48.821843620096054,50.34463746233335
Augustana (IL),49.49627754919775,43.703982994496954,49.76135327672766
Aurora,46.31215241685532,55.080282711344296,50.52284221671812
Austin,55.24640589690236,47.65047763614751,50.01914120211289
Averett,37.77071334871214,51.01301870923379,42.64932114742509
Babson,51.62891740217317,53.51079887254616,54.62793398337051
Baldwin Wallace,61.885982677450606,56.57968439311868,51.53911679800059
Bard,50.72317583782448,43.89177705305548,57.96977643629036
Baruch,42.835677849348265,48.929976179653515,51.0066999370227
Bates,46.42950925233364,53.61358180728323,50.487579944434295
Belhaven,42.33962570568354,50.92600910904134,48.454865937988146
Beloit,48.96668947944283,43.07776408656335,48.66232543623735
Benedictine (IL),52.74989344814736,52.22082501973327,41.940034840053
Berea,46.03361013007728,43.330662204885186,39.4800513885425
Berry,50.264612628100494,51.119511311192745,55.2952105287294
Bethany (WV),41.184124963358165,53.93508575885267,44.03392906243506
Bethany Lutheran,50.99317607776175,44.54853986288568,43.067562308340676
Bethel (MN),49.24851708691923,53.84596607643522,55.1185315973964
Blackburn,42.68697149886774,37.05689425267987,51.23307408097126
Bluffton,51.8139216336951,51.73558471681544,47.27534615083432
Bowdoin,63.2642807514021,43.418401698543974,56.68348736048855
Brandeis,43.209368854673095,52.42342815082103,58.62774136034929
Brevard,53.60503510503325,48.98956757445708,42.22865208322899
Bridgewater (VA),53.19092460864049,54.70472184549645,53.47039722170968
Bridgewater St.,50.43679311674978,47.88308143643517,53.42508795823703
Brooklyn,56.19909305099664,46.833834457593994,55.182344640330996
Bryn Athyn,36.8042163099985,39.463546186523445,40.97744155346364
Bryn Mawr,48.89142826655646,48.11044077770736,40.76139188623455
